,team1_home,team1_bat,csk,dch,dca,dd,gl,kxip,kt,kkr,mi,pw,rr,rps,rcb,srh,team1_win_percentage,team2_win_percentage,team1_win
207,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6205489369479182,0.7841677223992383,0
208,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5584386060937472,0.8295458535994696,1
209,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.8084531990100555,0.5885604684400809,1
210,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6948828529168973,0.7191229524372542,1
211,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7671537031853778,0.6414633237286145,0
212,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.655524145942862,0.7551742143941894,1
213,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.7676591723222937,0.6408583268940578,0
214,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.8176313371929237,0.5757421266852994,0
215,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.841995503991129,0.5394845421870071,0
216,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.829063063955475,0.5591551090571916,0
217,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5570572676350319,0.8304740818201326,0
218,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.8077331430484842,0.5895482759036931,1
219,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6408583268940578,0.7676591723222937,1
220,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.7725951487922619,0.6348989967409482,1
221,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7291406374480305,0.6843638877248562,0
222,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6428199106794924,0.7660173382071775,0
223,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7719302356170498,0.6357072528610997,0
224,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.7720585123118734,0.6355514562698892,0
225,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.821406952996121,0.5703425440642038,1
226,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8144535194083273,0.5802288037691593,0
227,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5385495508923938,0.8425938412032223,0
228,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7035445979201052,0.7106511090102072,1
229,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.822786528217372,0.5683505335477427,0
230,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.7439651465471575,0.6682184229150424,1
